Lista,Documento,Enlace
1,Funciones,https://drive.google.com/file/d/1QzCry6lMOGPQtypEzfClSqem03UcNub7/view
1,Optimización Lineal,https://drive.google.com/file/d/1uWxMy7tDBhYuxuJOjocye1igPGhoFWO-/view
1,Rectas y Cónicas,https://drive.google.com/file/d/1NqRR7apTR7ujoLauJYuszvnO1gdqOti7/view
1,Derivadas (1),https://drive.google.com/file/d/1IZiCjuG8ktbU_P2i-v0J1Uk8_VJqzcNY/view
1,Derivadas (2),https://drive.google.com/file/d/1Qfv6a_7AjDcLN_eSSl38ZKhm46sXgwqM/view
2,Integrales Indefinidas,https://drive.google.com/file/d/1e04Y53IijuUms8DFwPtBKkTlX25MWmrK/view
2,Integrales Definidas,https://drive.google.com/file/d/185zZuNanaPeLRY-HsZocRkEYQAoqf2Sq/view
2,Funciones de Varias Variables (1),https://drive.google.com/file/d/1sZV0NyZvpt6a0yKDxoSlPZB_TJ6L6_xf/view
2,Funciones de Varias Variables (2),https://drive.google.com/file/d/1zPUwwGU5g0pmxEk1BqKKYfod9tQbqCML/view
3,Integrales dobles,https://drive.google.com/file/d/1D4yhf-B1LqcATRo5YipT2QsIwWOsrLmX//view
3,Cambio de coordenadas,https://drive.google.com/file/d/18bJgm5c5X9T285vtz0trJJUG8wwCyNhe/view
3,Integrales triples,https://drive.google.com/file/d/1tmddhghjXh-ii7JFacFolsQ3WkMHRiZ-/view
4,Notación de Indices,https://drive.google.com/file/d/1VuBW4ti0c13Sqv7TMemqUXncWYa5WNMl/view
